,arrestnumber,page_num,charges,charge_type,charge_counts,charge_IBRcode,charge_statutenumber,charge_warrantdate,chargenum
0,321921,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),02/03/2021,1
1,319178,0.0,Warrant Service For Other Jurisdiction,Fel,1.0,9910,WARR,07/16/2020,1
2,321362,0.0,Larceny Of Firearm,Fel,1.0,23H,14-72(B4),12/29/2020,1
3,310474,0.0,Driving While Impaired,Misd,1.0,90D,20-138.1,04/07/2019,1
4,310474,0.0,Drive While License Revoked Impaired Rev Based,Misd,1.0,9914,20-28(A1),04/07/2019,2
5,327447,0.0,Driving While Impaired,Misd,1.0,90D,20-138.1,12/18/2021,1
6,327448,0.0,Possess Cs On Premises Of Prison/localConfinement,Fel,1.0,35A,90-95(E9),12/18/2021,1
7,321529,0.0,Warrant Service For Other Jurisdiction,Misd,1.0,9910,WARR,01/08/2021,1
8,325491,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,07/29/2021,1
9,307644,0.0,Breaking And Entering Building  (felony),Fel,1.0,220,14-54(A),11/10/2018,1
10,307644,0.0,Larceny After Burglary/b&e,Fel,1.0,23H,14-72(B2),11/10/2018,2
11,307644,0.0,Possessing Stolen Goods,Fel,1.0,280,14-71.1,11/10/2018,3
12,307644,0.0,Possess Control Substance Schedule Iv,Misd,1.0,35A,90-95(A3)4,11/11/2018,4
13,307644,0.0,Possess Control Substance Schedule Iv,Misd,3.0,35A,90-95(A3)4,11/11/2018,5
14,307644,0.0,Possess Control Substance Schedule Ii,Misd,1.0,35A,90-95(A3)2,11/11/2018,6
15,307644,0.0,Possess Control Substance Schedule Iii,Misd,1.0,35A,90-95(A3)3,11/11/2018,7
16,307644,0.0,Possess Control Substance Schedule Iii,Misd,1.0,35A,90-95(A3)3,11/11/2018,8
17,327995,0.0,Simple Assault & Battery Or Affray,Misd,1.0,13B,14-33(A),01/31/2022,1
18,327995,0.0,Resist Delay Obstruct Public Officer,Misd,1.0,90Z,14-223,02/01/2022,2
19,324505,0.0,Possess Control Substance Schedule Vi,Misd,1.0,35A,90-95(A3)6,05/24/2021,1
20,321282,0.0,Assault With Deadly Weapon Inflicting SeriousInjury,Fel,1.0,13A,14-32(B),12/21/2020,1
21,321282,0.0,Discharging Weapons Generally,Misd,2.0,520,CO 46-21,12/21/2020,2
22,327467,0.0,Assault Inflict Serious Injury Or Awdw,Misd,1.0,13A,14-33(C1),12/19/2021,1
23,321581,0.0,Possess Witm/s/d Controll Substance Schedule Vi,Fel,1.0,35A,90-95(A1)P6,01/12/2021,1
24,321581,0.0,No Operator License,Misd,1.0,9914,20-7(A),01/12/2021,2
25,321581,0.0,Failure To Stop At Stoplight At Intersection,Misd,1.0,9914,20-158(B2),01/12/2021,3
26,312853,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,07/30/2019,1
27,312853,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,07/30/2019,2
28,316935,0.0,Vandalism-to Real Property Willful And WantonInjury,Misd,1.0,290,14-127,02/09/2020,1
29,316935,0.0,Injury To Personal Property,Misd,1.0,290,14-160,02/09/2020,2
30,317736,0.0,Injury To Personal Property,Misd,1.0,290,14-160,02/09/2020,1
31,317736,0.0,Injuring Buildings/fences; Take Possess Of House,Misd,1.0,290,14-159,02/09/2020,2
32,330128,0.0,Assault A Child / Minor,Misd,2.0,13B,14-33(C3),04/17/2022,1
33,330128,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),04/17/2022,2
34,330128,0.0,Assault In Presence Of A Minor,Misd,1.0,13B,14-33(D),04/17/2022,3
35,330128,0.0,Injury To Personal Property,Misd,1.0,290,14-160,04/17/2022,4
36,309189,0.0,Assault Inflict Serious Injury Or Awdw,Misd,1.0,13A,14-33(C1),02/04/2019,1
37,322065,0.0,Possessing Stolen Goods,Misd,1.0,280,14-71.1,02/14/2021,1
38,311538,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),05/29/2019,1
39,311538,0.0,False Imprisonment (common Law),Misd,1.0,90Z,FALSEIMP,05/29/2019,2
40,328036,0.0,Carrying Concealed Weapons,Misd,1.0,520,14-269,02/02/2022,1
