,LAWBEAT,OBJECTID,PERIMETER,ShapeSTAre,ShapeSTLen,index_right,arrestnumber,age,casenumber,year,distance,Black,White,Asian,Unknown,Indigenous,total
0,111,25300,14476053.1953125,10171875841.445312,14476052.669802787,6932453,161251565,17640,10100612646,1022141,0.0,437,64,5,0,0,506
1,112,35292,18175967.92969096,14393141071.546875,18175970.002179556,8205390,220195843,24389,13759026946,1397815,0.0,562,128,1,1,0,692
2,113,40548,13516570.546875,14121138253.21875,13516570.423138835,6790155,208674527,22175,13113632965,1321149,0.0,539,106,6,2,1,654
3,114,37095,30095539.13525391,34428380059.546875,30095535.97778741,3051224,181450891,19209,11401157693,1149433,0.002620447208526543,478,90,1,0,0,569
4,121,21572,15143832.64221236,11726085055.292969,15143832.817220345,7290514,169441503,20120,10730768062,1068758,0.012345010324526838,352,170,3,3,1,529
5,122,29592,20104300.46875,18830914829.5625,20104301.381780256,7026517,174904369,18545,10996208960,1107028,0.0,409,139,0,0,0,548
6,123,24642,33183154.87695312,33433951877.945312,33183153.57445903,3759096,142743333,13916,8934003584,904983,0.0,353,87,1,5,2,448
7,124,6813,12373287.61437997,9372758704.316406,12373286.294608055,1167974,27890586,3051,1764836300,175774,0.02640796586460897,42,45,0,0,0,87
8,211,14436,14736300.44140625,26016335799.140625,14736298.8957984,6743617,128216700,14538,8073589856,810109,0.0,207,190,2,1,1,401
9,212,15609,13477387.4296875,15613180963.101562,13477386.496626751,4112790,115303751,13512,7129141441,733211,0.0,280,83,0,0,0,363
10,213,16650,12852242.578125,21111803790.820312,12852243.193950403,4169025,143481306,15767,8982503116,909040,0.0,312,137,0,1,0,450
11,214,14708,28130754.89147952,54655052070.85156,28130756.954726193,8638293,173762010,19427,10950258995,1098978,0.03702339084922919,385,157,1,0,1,544
12,221,6028,30527626.75024415,70788023981.6289,30527626.011928853,5195060,113372197,13314,7169689202,715179,0.009851705311199816,178,171,3,2,0,354
13,222,5904,18633875.87109375,39344519330.50781,18633876.301966913,67896,117604529,11692,7353319395,745410,0.0,245,123,0,1,0,369
14,223,11167,34047589.13476567,31719828984.757812,34047587.69564155,3826306,162359711,17678,10208408928,1026257,0.0,401,104,0,2,1,508
15,224,2456,21603807.37890625,26537840007.82422,21603801.999093402,3101231,60202995,6622,3767271526,381778,0.016544554212062548,121,65,2,1,0,189
16,311,24552,18008467.6875,22624726976.53125,18008468.313428,2435670,118205887,13772,7342359917,751419,0.0,264,103,2,0,3,372
17,312,17732,14552789.06640625,23477105048.203125,14552787.630925156,1643961,108652348,11858,6803604275,688848,0.0,239,95,6,0,1,341
18,313,10140,14924998.359375,17711501071.875,14924998.752493126,129610,83089319,8342,5161353169,525248,0.0,192,68,0,0,0,260
19,314,49764,24743095.4375,34554511400.14844,24743095.8797172,2551681,202403962,20694,12623592023,1288647,0.0,415,210,9,3,1,638
20,321,21966,45854540.76831054,59604557942.296875,45854529.58152735,4145024,120654879,14090,7586143009,763604,0.0024122628204439867,221,153,0,3,1,378
21,322,11571,8037106.35546875,21811842342.007812,8037106.483457592,2199820,42579742,4712,2699436452,268704,0.0,86,44,1,2,0,133
22,323,21003,19325418.79199219,27740660774.277344,19325418.94223786,4052402,83511652,9520,5239125659,529255,0.015048770784916319,147,111,3,0,1,262
23,324,53761,64721930.12841797,76803160169.09375,64721921.28398346,7207189,160828351,17634,10037619299,1024061,0.010288740792292974,365,131,5,3,3,507
24,411,53265,19192604.296875,17019451769.707031,19192604.84744618,4741380,253321486,29470,15842685315,1605948,0.0,683,107,4,0,1,795
25,412,38250,17203584.9609375,29361339908.554688,17203584.456356183,4012935,162735959,17577,10217740651,1030261,0.0,470,40,0,0,0,510
26,413,37204,23686859.15625,34390214682.296875,23686860.486605786,7901658,167188576,17416,10464869425,1058522,0.0,469,55,0,0,0,524
27,414,22200,24410583.70703124,33286941802.203125,24410583.640310634,255992,80314777,7511,5052742765,509058,0.0,186,64,1,0,1,252
28,415,23542,17973506.8125,26354029530.695312,17973506.129998904,2952137,95056566,9669,5966521232,601993,0.0,222,75,1,0,0,298
29,421,32670,19368465.703125,38960990945.50781,19368466.62422134,1480090,105694668,10907,6682609066,666694,0.0,245,82,2,1,0,330
30,422,36456,39758599.77490234,45165513449.05469,39758589.302837424,4480023,107861588,11608,6799189170,680830,0.02854707430353832,226,106,3,1,1,337
31,423,23471,37375262.4765625,63012657349.40625,37375269.38981425,2378045,79133208,8030,5011964791,499025,0.005075933340449791,174,69,2,1,1,247
32,511,19769,12165402.28515625,7943572759.636719,12165401.625723593,2581160,118668473,12787,7423426393,753436,0.0,276,94,1,0,2,373
33,512,159543,45732552.12598356,26044733136.375,45732548.40950393,6384519,894329254,94338,55885800261,5654536,0.0,2227,550,6,7,9,2799
34,513,28121,9518349.8359375,4201698139.9335938,9518348.122482533,4060949,147388188,16150,9232274468,931304,0.0,395,65,1,0,0,461
