"","X","LAWBEAT","Black","White","Asian","Unknown","Indigenous","total","Black.","White.","Asian.","Indigenous.","Unknown.","non_white.","Year"
"1",0,111,161,23,0,0,0,184,0.88,0.12,0,0,0,0.88,2018
"2",1,112,222,49,0,1,0,272,0.82,0.18,0,0,0,0.82,2018
"3",2,113,176,34,0,2,1,213,0.83,0.16,0,0,0.01,0.84,2018
"4",3,114,182,38,0,0,0,220,0.83,0.17,0,0,0,0.83,2018
"5",4,121,102,24,1,0,1,128,0.8,0.19,0.01,0.01,0,0.82,2018
"6",5,122,162,37,0,0,0,199,0.81,0.19,0,0,0,0.81,2018
"7",6,123,127,23,1,4,1,156,0.81,0.15,0.01,0.01,0.03,0.86,2018
"8",7,124,12,11,0,0,0,23,0.52,0.48,0,0,0,0.52,2018
"9",8,211,67,63,1,0,0,131,0.51,0.48,0.01,0,0,0.52,2018
"10",9,212,104,33,0,0,0,137,0.76,0.24,0,0,0,0.76,2018
"11",10,213,121,58,0,0,0,179,0.68,0.32,0,0,0,0.68,2018
"12",11,214,140,41,0,0,0,181,0.77,0.23,0,0,0,0.77,2018
"13",12,221,55,40,2,0,0,97,0.57,0.41,0.02,0,0,0.59,2018
"14",13,222,92,42,0,1,0,135,0.68,0.31,0,0,0.01,0.69,2018
"15",14,223,122,37,0,0,0,159,0.77,0.23,0,0,0,0.77,2018
"16",15,224,50,27,1,1,0,79,0.63,0.34,0.01,0,0.01,0.65,2018
"17",16,311,107,36,1,0,2,146,0.73,0.25,0.01,0.01,0,0.75,2018
"18",17,312,75,37,0,0,0,112,0.67,0.33,0,0,0,0.67,2018
"19",18,313,57,21,0,0,0,78,0.73,0.27,0,0,0,0.73,2018
"20",19,314,184,106,5,3,1,299,0.62,0.35,0.02,0,0.01,0.65,2018
"21",20,321,66,40,0,1,0,107,0.62,0.37,0,0,0.01,0.63,2018
"22",21,322,22,11,0,1,0,34,0.65,0.32,0,0,0.03,0.68,2018
"23",22,323,41,30,1,0,0,72,0.57,0.42,0.01,0,0,0.58,2018
"24",23,324,155,50,1,0,1,207,0.75,0.24,0,0,0,0.75,2018
"25",24,411,243,32,0,0,1,276,0.88,0.12,0,0,0,0.88,2018
"26",25,412,176,17,0,0,0,193,0.91,0.09,0,0,0,0.91,2018
"27",26,413,168,19,0,0,0,187,0.9,0.1,0,0,0,0.9,2018
"28",27,414,68,17,1,0,1,87,0.78,0.2,0.01,0.01,0,0.8,2018
"29",28,415,75,21,1,0,0,97,0.77,0.22,0.01,0,0,0.78,2018
"30",29,421,63,15,0,0,0,78,0.81,0.19,0,0,0,0.81,2018
"31",30,422,58,36,1,0,0,95,0.61,0.38,0.01,0,0,0.62,2018
"32",31,423,42,29,1,1,1,74,0.57,0.39,0.01,0.01,0.01,0.6,2018
"33",32,511,120,23,0,0,0,143,0.84,0.16,0,0,0,0.84,2018
"34",33,512,790,179,1,2,3,975,0.81,0.18,0,0,0,0.81,2018
"35",34,513,102,18,0,0,0,120,0.85,0.15,0,0,0,0.85,2018
"36",35,111,161,23,0,0,0,184,0.88,0.12,0,0,0,0.88,2019
"37",36,112,222,49,0,1,0,272,0.82,0.18,0,0,0,0.82,2019
"38",37,113,176,34,0,2,1,213,0.83,0.16,0,0,0.01,0.84,2019
"39",38,114,182,38,0,0,0,220,0.83,0.17,0,0,0,0.83,2019
"40",39,121,102,24,1,0,1,128,0.8,0.19,0.01,0.01,0,0.82,2019
"41",40,122,162,37,0,0,0,199,0.81,0.19,0,0,0,0.81,2019
"42",41,123,127,23,1,4,1,156,0.81,0.15,0.01,0.01,0.03,0.86,2019
"43",42,124,12,11,0,0,0,23,0.52,0.48,0,0,0,0.52,2019
"44",43,211,67,63,1,0,0,131,0.51,0.48,0.01,0,0,0.52,2019
"45",44,212,104,33,0,0,0,137,0.76,0.24,0,0,0,0.76,2019
"46",45,213,121,58,0,0,0,179,0.68,0.32,0,0,0,0.68,2019
"47",46,214,140,41,0,0,0,181,0.77,0.23,0,0,0,0.77,2019
"48",47,221,55,40,2,0,0,97,0.57,0.41,0.02,0,0,0.59,2019
"49",48,222,92,42,0,1,0,135,0.68,0.31,0,0,0.01,0.69,2019
"50",49,223,122,37,0,0,0,159,0.77,0.23,0,0,0,0.77,2019
"51",50,224,50,27,1,1,0,79,0.63,0.34,0.01,0,0.01,0.65,2019
"52",51,311,107,36,1,0,2,146,0.73,0.25,0.01,0.01,0,0.75,2019
"53",52,312,75,37,0,0,0,112,0.67,0.33,0,0,0,0.67,2019
"54",53,313,57,21,0,0,0,78,0.73,0.27,0,0,0,0.73,2019
"55",54,314,184,106,5,3,1,299,0.62,0.35,0.02,0,0.01,0.65,2019
"56",55,321,66,40,0,1,0,107,0.62,0.37,0,0,0.01,0.63,2019
"57",56,322,22,11,0,1,0,34,0.65,0.32,0,0,0.03,0.68,2019
"58",57,323,41,30,1,0,0,72,0.57,0.42,0.01,0,0,0.58,2019
"59",58,324,155,50,1,0,1,207,0.75,0.24,0,0,0,0.75,2019
"60",59,411,243,32,0,0,1,276,0.88,0.12,0,0,0,0.88,2019
"61",60,412,176,17,0,0,0,193,0.91,0.09,0,0,0,0.91,2019
"62",61,413,168,19,0,0,0,187,0.9,0.1,0,0,0,0.9,2019
"63",62,414,68,17,1,0,1,87,0.78,0.2,0.01,0.01,0,0.8,2019
"64",63,415,75,21,1,0,0,97,0.77,0.22,0.01,0,0,0.78,2019
"65",64,421,63,15,0,0,0,78,0.81,0.19,0,0,0,0.81,2019
"66",65,422,58,36,1,0,0,95,0.61,0.38,0.01,0,0,0.62,2019
"67",66,423,42,29,1,1,1,74,0.57,0.39,0.01,0.01,0.01,0.6,2019
"68",67,511,120,23,0,0,0,143,0.84,0.16,0,0,0,0.84,2019
"69",68,512,790,179,1,2,3,975,0.81,0.18,0,0,0,0.81,2019
"70",69,513,102,18,0,0,0,120,0.85,0.15,0,0,0,0.85,2019
"71",70,111,117,16,0,0,0,133,0.88,0.12,0,0,0,0.88,2020
